,id,symbol,type,interval,amount,startDate,endDate,buy,sell,growth/drop,closed,status,15,30,45,60,vwap20,BTC,RSI,V-B,V-BTC,V-C,Volume,coin,coin-6h,high,low,sell_zscore
0,c8bfd132-942a-11ec-a47c-f4d1080d95a2,MKRUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,1785.0,1772.0,-0.7282913165266106,True,True,-0.5602240896358543,-0.6722689075630253,-0.7282913165266106,,1.0623427979916764,-0.31104786245354465,0.0,3.6843546421422957,5.1885,31.970704442517107,5.1885,-0.05602240896358543,-0.501964346062866,1788.0,1768.0,0.0
1,c8c34feb-942a-11ec-a169-f4d1080d95a2,CHESSUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,0.832,0.829,-0.3605769230769234,True,True,-0.2403846153846156,-0.3605769230769234,-0.3605769230769234,,0.14797558184907372,-0.31104786245354465,0.0,3.6843546421422957,31079.6,30.13745350648013,31079.6,-0.3605769230769234,-0.501964346062866,0.834,0.828,0.0
2,c8ca28fd-942a-11ec-902f-f4d1080d95a2,SOLUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,85.29,85.05,-0.2813928948294162,True,True,-0.4572634540977847,-0.29311759878063076,-0.2813928948294162,,0.0656219038967681,-0.31104786245354465,0.0,3.6843546421422957,10754.37,31.84984336599913,10754.37,-0.21104467112204547,-0.501964346062866,85.61,84.78,0.0
3,c8d0666d-942a-11ec-af10-f4d1080d95a2,VETUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,0.04628,0.04626,-0.04321521175453584,True,True,0.0,-0.06482281763181125,-0.04321521175453584,,0.4974480880876969,-0.31104786245354465,0.0,3.6843546421422957,8295621.7,57.85630147527099,8295621.7,-0.08643042350907168,-0.501964346062866,0.04645,0.04613,0.0
4,c8f98d89-942a-11ec-8391-f4d1080d95a2,SANDUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,3.1006,3.0685,-1.0352834935173914,True,True,-1.086886409082115,-1.0127072179578176,-1.0352834935173914,,0.7316428377136224,-0.31104786245354465,0.0,3.6843546421422957,352880.0,6.801178871004307,352880.0,0.33541895117074716,-0.501964346062866,3.1048,3.0546,0.0
5,c918ef36-942a-11ec-a6d0-f4d1080d95a2,FORTHUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:00:00,7.32,7.36,0.5464480874316944,True,True,,,,,-1.9806898076069723,-0.31104786245354465,0.0,3.6843546421422957,238959.23,69.3493279167329,238959.23,1.2295081967213095,-0.501964346062866,7.36,7.32,0.0
6,c92032dd-942a-11ec-ae16-f4d1080d95a2,WINUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,0.0002755,0.0002747,-0.29038112522684767,True,True,-0.1814882032667724,-0.2540834845734892,-0.29038112522684767,,0.8315690752503753,-0.31104786245354465,0.0,3.6843546421422957,376251943.0,12.75209520977809,376251943.0,-0.10889292196007525,-0.501964346062866,0.000276,0.0002744,0.0
7,c92b0023-942a-11ec-af96-f4d1080d95a2,ENJUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,1.442,1.432,-0.6934812760055485,True,True,-0.9015256588072054,-0.5547850208044388,-0.6934812760055485,,1.3398624180610992,-0.31104786245354465,0.0,3.6843546421422957,104783.2,-21.47357591675001,104783.2,-0.1386962552011097,-0.501964346062866,1.445,1.427,0.0
8,c9491d22-942a-11ec-80ec-f4d1080d95a2,BNBUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:45:00,371.4,371.0,-0.10770059235325183,True,True,-0.3500269251480761,-0.10770059235325183,-0.10770059235325183,,0.8461855905330353,-0.31104786245354465,0.0,3.6843546421422957,2992.166,-17.364711717197498,2992.166,-0.10770059235326714,-0.501964346062866,372.6,369.6,0.0
9,c9586140-942a-11ec-90f0-f4d1080d95a2,QIUSDT,rsi,15m,500,2022-02-22 22:00:00,2022-02-22 22:00:00,0.0533,0.0536,0.5628517823639806,True,True,,,,,0.021376519368632413,-0.31104786245354465,0.0,3.6843546421422957,427824.0,16.749177231758853,427824.0,-0.5628517823639806,-0.501964346062866,0.0536,0.0533,0.0
